"drug","target"
"DB00608","BE0002189"
"DB00608","BE0001171"
"DB00608","BE0002659"
"DB00611","BE0000420"
"DB00611","BE0000632"
"DB00611","BE0000770"
"DB00612","BE0000172"
"DB00612","BE0000694"
"DB00618","BE0000019"
"DB00618","BE0000127"
"DB00621","BE0000132"
"DB00624","BE0000132"
"DB00635","BE0000329"
"DB00635","BE0000794"
"DB00641","BE0000574"
"DB00641","BE0001041"
"DB00642","BE0001240"
"DB00642","BE0000330"
"DB00642","BE0000324"
"DB00642","BE0000882"
"DB00672","BE0000207"
"DB00675","BE0000123"
"DB00675","BE0000792"
"DB00675","BE0004877"
"DB00675","BE0004895"
"DB00678","BE0000062"
"DB00679","BE0000090"
"DB00679","BE0000501"
"DB00679","BE0000575"
"DB00679","BE0000756"
"DB00679","BE0000020"
"DB00679","BE0000451"
"DB00682","BE0000713"
"DB00684","BE0000279"
"DB00686","BE0001015"
"DB00686","BE0000326"
"DB00686","BE0000689"
"DB00687","BE0000794"
"DB00687","BE0000132"
"DB00687","BE0000668"
"DB00688","BE0000722"
"DB00688","BE0000761"
"DB00691","BE0000221"
"DB00691","BE0000982"
"DB00692","BE0000501"
"DB00692","BE0000289"
"DB00694","BE0000742"
"DB00694","BE0002425"
"DB00695","BE0000322"
"DB00695","BE0000502"
"DB00697","BE0000289"
"DB00697","BE0000342"
"DB00697","BE0000572"
"DB00697","BE0003580"
"DB00700","BE0000668"
"DB00708","BE0000420"
"DB00708","BE0000632"
"DB00708","BE0000770"
"DB00715","BE0000045"
"DB00715","BE0000092"
"DB00715","BE0000486"
"DB00715","BE0000560"
"DB00715","BE0000749"
"DB00715","BE0000247"
"DB00715","BE0000405"
"DB00715","BE0000451"
"DB00717","BE0000557"
"DB00721","BE0000641"
"DB00721","BE0000647"
"DB00721","BE0000738"
"DB00721","BE0000311"
"DB00721","BE0000177"
"DB00721","BE0004906"
"DB00721","BE0004909"
"DB00722","BE0000221"
"DB00722","BE0000982"
"DB00724","BE0000155"
"DB00724","BE0003518"
"DB00726","BE0000486"
"DB00726","BE0000501"
"DB00726","BE0000533"
"DB00726","BE0000575"
"DB00726","BE0000647"
"DB00726","BE0000749"
"DB00726","BE0000756"
"DB00726","BE0004872"
"DB00726","BE0000289"
"DB00726","BE0000291"
"DB00726","BE0000311"
"DB00726","BE0000442"
"DB00726","BE0000451"
"DB00726","BE0000572"
"DB00726","BE0000659"
"DB00726","BE0004889"
"DB00726","BE0004890"
"DB00726","BE0004882"
"DB00727","BE0000556"
"DB00731","BE0000207"
"DB00731","BE0000215"
"DB00734","BE0000501"
"DB00734","BE0000533"
"DB00734","BE0000575"
"DB00734","BE0000756"
"DB00734","BE0000020"
"DB00734","BE0000289"
"DB00734","BE0000291"
"DB00734","BE0000342"
"DB00734","BE0000389"
"DB00734","BE0000442"
"DB00734","BE0000451"
"DB00734","BE0000572"
"DB00734","BE0000581"
"DB00734","BE0000659"
"DB00737","BE0000442"
"DB00738","BE0002517"
"DB00747","BE0000045"
"DB00747","BE0000092"
"DB00747","BE0000560"
"DB00747","BE0000247"
"DB00747","BE0000405"
"DB00747","BE0001176"
"DB00748","BE0000442"
"DB00749","BE0000017"
"DB00749","BE0000262"
"DB00749","BE0000412"
"DB00750","BE0000197"
"DB00752","BE0002198"
"DB00752","BE0002196"
"DB00755","BE0000513"
"DB00755","BE0000554"
"DB00755","BE0000078"
"DB00755","BE0000144"
"DB00755","BE0000707"
"DB00755","BE0000074"
"DB00755","BE0000653"
"DB00755","BE0000697"
"DB00758","BE0000110"
"DB00762","BE0000091"
"DB00762","BE0000971"
"DB00768","BE0000442"
"DB00768","BE0000885"
"DB00768","BE0001090"
"DB00768","BE0001177"
"DB00768","BE0001206"
"DB00768","BE0003602"
"DB00769","BE0000794"
"DB00771","BE0000092"
"DB00773","BE0000742"
"DB00773","BE0002425"
"DB00775","BE0000439"
"DB00775","BE0001155"
"DB00780","BE0000253"
"DB00780","BE0000667"
"DB00780","BE0002166"
"DB00780","BE0002173"
"DB00780","BE0002198"
"DB00780","BE0002196"
"DB00780","BE0001002"
"DB00782","BE0000092"
"DB00784","BE0000017"
"DB00784","BE0000262"
"DB00788","BE0000017"
"DB00788","BE0000262"
"DB00790","BE0000221"
"DB00794","BE0000826"
"DB00794","BE0000829"
"DB00794","BE0000849"
"DB00794","BE0002341"
"DB00794","BE0004797"
"DB00794","BE0000381"
"DB00794","BE0000471"
"DB00794","BE0000478"
"DB00794","BE0000523"
"DB00794","BE0000764"
"DB00796","BE0000062"
"DB00798","BE0000942"
"DB00798","BE0000330"
"DB00798","BE0000279"
"DB00798","BE0001601"
"DB00802","BE0000770"
"DB00804","BE0000092"
"DB00804","BE0000560"
"DB00806","BE0000487"
"DB00806","BE0000013"
"DB00806","BE0000182"
"DB00806","BE0000924"
"DB00806","BE0001133"
"DB00806","BE0001096"
"DB00808","BE0000489"
"DB00808","BE0000672"
"DB00811","BE0003540"
"DB00811","BE0000261"
"DB00811","BE0000761"
"DB00811","BE0000282"
"DB00811","BE0000457"
"DB00811","BE0000681"
"DB00813","BE0000420"
"DB00813","BE0000632"
"DB00813","BE0000770"
"DB00814","BE0000017"
"DB00814","BE0000262"
"DB00823","BE0000123"
"DB00823","BE0000557"
"DB00831","BE0000501"
"DB00831","BE0000756"
"DB00831","BE0000666"
"DB00831","BE0000418"
"DB00831","BE0001024"
"DB00831","BE0004350"
"DB00834","BE0000794"
"DB00834","BE0000557"
"DB00835","BE0000045"
"DB00835","BE0000092"
"DB00835","BE0000560"
"DB00835","BE0000247"
"DB00835","BE0000405"
"DB00835","BE0000442"
"DB00838","BE0000794"
"DB00839","BE0000644"
"DB00844","BE0000420"
"DB00844","BE0000632"
"DB00844","BE0000770"
"DB00846","BE0000794"
"DB00850","BE0000756"
"DB00850","BE0000020"
"DB00850","BE0000418"
"DB00851","BE0003559"
"DB00851","BE0000716"
"DB00854","BE0000420"
"DB00854","BE0000632"
"DB00854","BE0000770"
"DB00861","BE0000017"
"DB00861","BE0000262"
"DB00875","BE0000092"
"DB00875","BE0000501"
"DB00875","BE0000756"
"DB00875","BE0000020"
"DB00875","BE0000451"
"DB00876","BE0000062"
"DB00877","BE0000695"
"DB00877","BE0002386"
"DB00877","BE0001015"
"DB00880","BE0000267"
"DB00880","BE0000322"
"DB00880","BE0000535"
"DB00880","BE0000419"
"DB00881","BE0000221"
"DB00887","BE0000502"
"DB00887","BE0000047"
"DB00887","BE0000281"
